StartTime,Motion
15.889741165,46,722
15.988746997,43,719
16.093375468,48,709
16.192052087,43,726
16.285588772,42,747
16.385806613,36,745
16.486102264,31,741
16.58406192,49,736
16.684894272,29,627
16.784928182,25,732
16.890007572,42,731
16.983818291,43,594
17.085063128,54,604
17.188038516,56,620
17.286005317,57,607
17.388578247,48,619
17.489279344,38,648
17.586816808,54,736
17.689935034,77,779
17.785303826,50,732
17.886750677,37,688
17.989254989,32,697
18.090913144,24,723
18.203490914,23,681
18.287164551,45,609
18.387762218,53,653
18.488545977,54,625
18.585979525,44,590
18.688930127,53,604
18.78681129,79,626
18.885001982,128,647
18.98504566,179,466
19.08545601,244,540
19.19087019,234,548
19.288270554,203,760
19.391384026,337,589
19.493592687,95,423
19.58487504,62,378
19.688605359,92,650
19.7855214,90,638
19.886484834,89,691
19.985784609,64,618
20.086567345,45,604
20.186104868,91,738
20.287090818,93,728
20.394383037,65,666
20.496667153,106,734
20.584232067,77,668
20.685588224,37,594
20.790269448,22,590
20.887291073,32,589
20.988162545,46,642
21.085505228,35,612
21.188849596,59,605
21.289545,52,622
21.386383216,59,651
21.497432795,65,639
21.613571581,37,609
21.721271754,26,711
21.790791575,23,585
21.888594725,42,651
21.986494829,32,680
22.08474567,56,743
22.190763255,37,590
22.287210281,29,632
22.393668513,22,618
22.486385682,40,744
22.588386309,32,763
22.692718424,42,644
22.793668098,42,615
22.886125073,20,765
22.986925962,17,743
23.088030263,17,612
23.184250706,37,649
23.287258526,29,604
23.394196652,30,654
23.4950217,69,681
23.592907843,22,625
23.68514506,31,745
23.7912892,17,650
23.902772838,18,696
23.999659312,86,674
24.092676038,49,687
24.186470983,54,662
24.285197959,86,703
24.388457694,65,688
24.486489304,73,664
24.588137989,74,694
24.685834297,45,623
24.792878747,35,653
24.89570464,47,646
25.011586785,12,703
25.11085902,19,576
25.192774208,30,568
25.2856833,58,733
25.389198353,45,596
25.48584777,32,591
25.589771215,40,591
25.687571173,13,598
25.787517355,42,599
25.892629392,110,755
25.985354716,60,714
26.086275031,8,645
26.18679993,17,636
26.285553049,22,761
26.38527634,18,637
26.489327226,110,798
26.58777038,117,718
26.692410672,123,773
26.78766872,76,626
26.884706379,97,798
26.990750355,59,608
27.125536183,68,725
27.221885061,69,633
27.308560296,54,649
27.386772121,28,709
27.487018286,43,647
27.586797682,59,665
27.688381207,43,744
27.786940504,71,813
27.886818264,66,639
27.989371964,74,743
28.09129148,42,679
28.194658394,80,653
28.309264459,100,744
28.38610226,91,760
28.485997374,102,759
28.588174084,115,725
28.686805225,112,703
28.787370436,153,698
28.888339753,157,691
28.989024896,146,675
29.088618319,160,695
29.190404998,149,689
29.294224946,140,663
29.402213762,143,681
29.497550401,140,678
29.589632885,146,674
29.691404457,139,698
29.790276165,165,710
29.898837243,157,675
29.989502644,166,686
30.093554098,171,688
30.206698531,171,702
30.32692246,169,680
30.432779339,166,679
30.502994907,159,708
30.588876052,160,706
30.691221137,141,720
30.789755887,154,707
30.88927753,146,674
30.995125108,150,673
31.099510387,136,685
31.195242449,145,702
31.288428521,154,684
31.394009883,152,708
31.506570716,159,702
31.596920837,139,700
31.68906506,150,681
31.78553186,143,670
31.885995542,155,673
31.989251443,158,686
32.096071351,176,717
32.186606432,203,701
32.293429979,202,705
32.387153194,70,288
32.489097985,204,703
32.586397595,202,698
32.688724473,201,708
32.791478101,190,699
32.893261976,198,694
32.993760174,206,703
33.086159453,197,695
33.186188035,197,705
33.286923822,203,703
33.390156023,193,527
33.487724628,209,527
33.593515224,210,529
33.687706044,336,586
33.792162839,222,712
33.894813274,225,719
33.986893968,213,714
34.087054391,202,542
34.187154564,200,702
34.287266027,59,322
34.392629736,197,707
34.490712821,195,709
34.5903701,177,679
34.691402221,191,705
34.787417044,180,714
34.88637061,188,704
34.986646606,187,711
35.086961929,174,675
35.190153447,194,699
35.292042682,202,702
35.389423169,198,567
35.487639847,253,597
35.593375577,104,337
35.690422062,208,574
35.78733195,218,506
35.894325212,209,492
35.990163221,74,306
36.088337905,239,580
36.188917671,259,539
36.28972221,242,562
36.386953346,229,528
36.486862761,210,498
36.590286804,233,544
36.686924101,215,491
36.786543136,220,545
36.907161609,233,570
37.018387995,171,760
37.118633015,64,334
37.19216271,218,716
37.288444072,208,723
37.387719576,204,723
37.494597017,203,722
37.591875602,40,314
37.693705329,221,716
37.796447243,186,525
37.893107249,74,328
37.989270075,172,481
38.093367337,226,708
38.189574214,211,717
38.289324747,54,349
38.391973665,211,707
38.492957073,211,716
38.588223781,203,723
38.68883495,203,705
38.787661313,197,725
38.887286804,195,707
38.994237264,183,688
39.091344111,170,702
39.197818613,195,710
39.303227103,176,690
39.39836932,196,713
39.491313272,187,726
39.588157156,179,683
39.687266393,176,682
39.787362816,188,706
39.887513467,173,734
39.995686779,199,712
40.096452833,203,723
40.194698487,42,317
40.313433543,204,703
40.389324607,208,719
40.49030092,51,332
40.589081794,190,721
40.689862364,196,700
40.793026123,189,694
40.895047681,158,673
40.989465928,135,682
41.095829824,141,669
41.197415025,111,693
41.307754559,109,684
41.394665017,130,661
41.499033655,108,680
41.59351927,137,654
41.692173864,110,662
